conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ce6242a1-a2d9-43e6-a481-ae89b9ec0460,construir modelos de sistemas microelectrónicos,released,skill/competence,sector-specific,construir prototipos de sistemas microelectrónicos,"Modelar y simular sistemas, productos y componentes microelectrónicos mediante software de diseño técnico. Evaluar la viabilidad del producto y examinar los parámetros físicos para garantizar que el proceso de producción se desarrolla de forma satisfactoria.",http://data.europa.eu/esco/skill/74b7938e-f667-48ff-a26d-faed294ac6c9,elaborar modelos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ce8ae6ca-61d8-4174-b457-641de96cbff4,automatizar tareas en la nube,released,skill/competence,sector-specific,,"Automatizar procesos manuales o repetibles para reducir al mínimo la carga administrativa. Evaluar alternativas de automatización en la nube para el despliegue de redes y alternativas basadas en herramientas para las operaciones y la gestión de las redes.
	",http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9,desarrollar soluciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf200547-25b5-47c8-9eda-bca4aedc13fb,programar soporte lógico inalterable,released,skill/competence,cross-sector,programar firmware | codificar microprograma,"Programar un software permanente con una memoria de solo lectura (ROM) en un dispositivo de hardware, como un circuito integrado.",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2,programas de ofimática,released,knowledge,cross-sector,,"Las características y el funcionamiento de programas de software para tareas de oficina, como tratamiento de textos, hojas de cálculo, presentación, correo electrónico y bases de datos.",http://data.europa.eu/esco/isced-f/0611,uso de computadores
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf3e976d-2c3e-495c-a874-f9e8a66d3b48,efectuar copias de seguridad,released,skill/competence,sector-specific,realizar copias de seguridad | mantener copias de seguridad | conservar copias de seguridad | llevar a cabo copias de seguridad,Implantar procedimientos de contingencia mediante copias de seguridad de datos y sistemas para garantizar el funcionamiento permanente y fiable del sistema. Llevar a cabo copias de seguridad de datos para proteger la información copiando y archivando para garantizar la integridad durante la integración del sistema y después de que se produzca una pérdida de datos.,http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f | http://data.europa.eu/esco/skill/611ed16b-99bf-4840-9cab-f55d1d286e0a,proteger dispositivos de tic | almacenar datos y sistemas digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cf532795-a1fd-43bd-8407-6e43f877e6e3,gestión de dispositivos móviles,released,knowledge,sector-specific,supervisión de dispositivos móviles | control de dispositivos móviles | comprobación de dispositivos móviles | manejo de dispositivos móviles | administración de dispositivos móviles,"Los métodos de gestión del uso de los dispositivos móviles dentro de una organización, garantizando al mismo tiempo la seguridad.",http://data.europa.eu/esco/isced-f/0612,diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cfa2be0d-96d5-4017-a866-962efb9c5070,procesamiento de señales,released,knowledge,sector-specific,proceso de señales | desarrollo de señales | tratamiento de señales | técnicas para procesar señales | método para procesar señales,"Los algoritmos, aplicaciones e implementaciones que tratan el procesado y la transferencia de información a través de frecuencias analógicas o digitales.",http://data.europa.eu/esco/isced-f/0714,electrónica y automatización
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/cfb8d64c-f8d7-4894-a02e-2551ab33f1d0,Canvas (sistemas de gestión de aprendizaje),released,knowledge,sector-specific,,"La red de Canvas es una plataforma de aprendizaje electrónico para crear, gestionar, organizar, informar y ofrecer cursos o programas de formación en línea.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,sistemas de gestión de aprendizaje | diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d04ee340-5378-4601-8181-19da6d5cbfe0,administrar una página web,released,skill/competence,cross-sector,,"Prestar diversos servicios relacionados con la gestión de sitios web, como realizar un seguimiento del tráfico en línea, gestionar contenido, prestar asistencia en los sitios y realizar estimaciones y mejoras para el sitio web propio.
   ",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gestionar, recopilar y almacenar datos digitales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d0a7144b-ba91-4489-acb8-a055c6b7e968,escanear negativos,released,skill/competence,sector-specific,escanear el negativo | hacer un escaneo de un negativo | hacer una copia escaneada del negativo | hacer un escaneado de los negativos | hacer una copia escaneada de los negativos,"Escanear los negativos procesados para que puedan almacenarse, editarse e imprimirse digitalmente.",http://data.europa.eu/esco/skill/dcb9c446-bb08-44de-89b6-851ac2903eaf,manejar equipos de producción de material impreso y fotográfico
